S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr. ,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Sales Rs.Cr.,OPM %,PAT 12M Rs.Cr.,PAT Qtr Rs.Cr.,CMP / BV,ROA 12M %,Ind PE
83,AGS Transact,80.2,973.65,0,19.21,166.59,417.51,2.82,9.79,1783.33,24.7,-34.42,19.21,2.02,-3.11,61.18,
84,Bajaj Healthcare,352.85,973.81,0.43,12.02,-37.46,172.07,-7.33,20,666.26,16.63,64.19,12.02,2.96,11.45,27.89,15.17
85,GE Power,145,974.84,0,-59.02,48.67,490.9,-9.16,-3.73,2570.92,-3.89,-107.42,-59.02,1.44,-3.81,19,
86,Udaipur Cement,31.35,976.27,0,13.57,-19.66,278.11,28.56,11.85,937.76,15.69,47.92,13.57,4.12,4.03,24.61,20.37
87,Speciality Rest.,208.2,977.71,0,15.03,275.38,89.97,195.66,7.5,312.47,17.21,31.75,15.03,6.76,1.93,49.29,30.79
88,Mangalam Cement,356.3,979.73,0.42,28.1,-19.87,513.81,43.39,13.7,1721.55,12.41,70.74,28.1,1.32,4.09,24.61,13.85
89,Vinyl Chemicals,538.05,986.63,0.93,10.92,73.89,310.75,108.11,54.73,1026.5,4.29,39.51,10.92,10.28,15.64,34.12,24.97
90,Avadh Sugar,493.1,987.11,2.03,19.69,3.91,688.07,11.19,12.55,2812.89,10.56,125.14,19.69,1.22,4.88,13.17,7.89
91,Saksoft,93.5,987.73,0.64,17.8,0.62,148.02,44.92,26.25,526.3,16.33,63.37,17.8,3.09,15.3,27.72,15.59
92,Emami Paper,164.3,994.02,0.97,54,68.8,598.07,39.44,16.76,2126.87,15.82,141.34,54,2.43,6.69,15.15,7.03
93,Agarwal Indl.,664.8,994.39,0.3,23.46,55.67,580.78,42.37,22.21,1771.08,6.51,72.08,23.46,3.03,13.52,9.8,13.8
94,Bodal Chemicals,81.3,997.17,0.98,22.53,-21.77,458.95,8.8,11.72,2087.77,10.56,104.32,22.53,0.94,5.61,21.17,9.56
95,Precision Camshf,105,997.35,1.05,4.19,-39.36,240,15.72,4.21,927.62,12.78,24.79,4.19,1.46,2.45,23.46,40.23
96,India Nipp.Elec.,443.45,1003.15,1.41,3.71,6.3,155.7,40.92,9.96,611.49,9.07,50.46,3.71,1.99,6.29,23.46,19.88
97,Zee Media,16.05,1003.81,0,8.19,1806.25,206.96,21.61,24.07,903.64,27.46,65.41,8.19,2.42,14.46,50.99,15.35
98,Marathon Nextgen,218.7,1010.3,0.23,11.51,161.38,97.7,176.38,7.07,368.44,27.01,45.51,11.37,1.55,2.01,30.9,22.2
99,S P Apparels,395.85,1017.04,0,25.79,123.79,245.78,84.69,15.63,972.13,17.15,99,25.87,1.59,8.59,25.44,10.27
100,Sutlej Textiles,62.25,1019.83,2.97,44.71,150.12,837.3,44.92,15.02,3301.51,13.44,196.81,60.08,0.9,6.97,7.86,5.18
101,Prec. Wires (I),88.45,1022.8,1.47,16.83,45.34,826.18,55.48,30.07,2984.86,4.49,68.26,16.83,2.8,7.56,12.5,14.98
102,Shankar Lal Ram.,160,1023.47,0.03,6.19,84.78,83.49,51.99,46.57,331.83,12.3,29.86,6.19,13.34,31.74,34.12,34.28
103,5Paisa Capital,335.05,1026.11,0,10.75,673.38,79.55,17.11,8.14,331.89,17.89,23.28,10.75,2.34,1.11,25.34,44.08
104,BIGBLOC Const.,145.45,1029.61,0.21,8.43,590.98,55.54,96.6,23.9,202.51,17.94,23.29,8.43,21.89,14.12,21.43,44.21
105,Coffee Day Enter,48.75,1029.85,0,-18,81.96,210.49,158.21,-1.82,710.55,5.52,-33.31,-19.59,0.29,-2.47,127,
106,Suryoday Small,97.3,1032.92,0,7.75,116.24,281.45,30.48,3.19,1007.56,22.3,-37.57,7.75,0.69,-1.25,16.15,
107,Vardhman Special,254.7,1033.09,1.37,30.3,8.99,469.16,42.11,25.67,1507.48,11.17,103.25,30.3,1.86,11.68,16.03,10.01
108,Guj. Themis Bio.,713,1035.9,0.84,17.77,37.54,44.94,38.53,66.8,127.35,50.34,48.47,17.77,10.03,41.39,23.98,21.37
109,Rossell India,282.7,1037.41,0.11,5.24,-2.06,69.63,6.79,9.17,303.46,15.08,23.7,5.24,4.21,5.34,10.79,43.77
110,Krishana Phosch.,350.3,1038.25,0.14,6.1,-6.01,66.17,25.18,20.72,332.67,15.69,29.08,6.1,4.81,11.22,10.76,35.7
111,KMC Speciality,63.7,1038.95,0,6.11,6.63,35.05,8.55,31.79,138.83,27.23,24.1,6.11,11.97,20.29,31.71,43.11
112,HMT,29.25,1040.13,0,-32.99,22.54,32.11,188.24,,196.71,-52.37,541.79,-32.99,,81.52,34.41,1.92
113,Shiva Cement,53.35,1040.33,0,-11.19,-152.03,0,-100,-2.49,1.36,-3164.71,-40.28,-11.19,,-2.02,12.06,
114,Dhampur Bio,156.8,1040.96,0,7.72,2370.59,515.07,43.39,10.92,1540.9,11.87,100.57,7.72,1.16,5.66,13.17,10.35
115,Timex Group,103.2,1041.8,0,12.01,327.46,94.27,194.04,14.33,326.67,7.64,20.51,12.01,,2.74,34.58,50.79
116,Nucleus Soft.,389.95,1044.03,1.8,10.77,79.5,128.84,18.81,6.2,517.59,9.67,45.68,10.77,2.12,3.23,27.72,22.86
117,Satin Creditcare,139.2,1044.26,0,-209.7,-160.01,344.76,-0.32,8.84,1379.79,36.01,-108.34,-209.7,0.68,0.26,25.34,
118,Nahar Spinning,289.55,1044.27,1.21,72.25,-27.18,861.89,16.76,32.52,3717.57,20.11,475.32,73.07,0.65,19.38,25.44,2.2
119,Sportking India,792.25,1052.68,0,83.08,5.18,606.32,34.86,57.59,2310.74,26.21,413.34,83.08,1.53,31.63,5.5,2.55
120,Renaiss. Global,111.4,1057.43,1.53,24.23,3.55,573.77,40.11,11.03,2354.08,8.1,106.29,24.23,1.14,5.84,36.83,9.95
121,Jet Airways,93.55,1062.73,0,-390.11,-202.5,12.53,-83.03,,75.13,-825,-788.71,-390.11,,-8.83,17.5,
122,SEPC,8.05,1063.83,0,-30.85,13.05,59.24,-11,-1.74,322.13,-14.92,-224.85,-30.85,1.06,-9.12,19,
123,Inox Wind Energy,977.8,1074.11,0,-130.25,-215.4,211.95,47.97,-14.43,666.6,-53.39,-196.96,-67.81,0.78,-8.95,21.88,
124,G M Breweries,589.55,1077.55,0.85,22.69,3.84,141.86,22.35,20.36,556.79,18.42,98.72,22.69,1.74,14.23,28.83,10.92
125,Rama Steel Tubes,123.55,1088.06,0.08,4.23,-40.42,240.02,73.55,20.8,869.89,4.63,24.32,4.23,8.19,9.01,16.03,44.74
126,Nalwa Sons Invst,2121.65,1090.53,0,9.24,-36.5,7.61,-51.74,1.22,84.92,86.41,61.49,7.08,0.14,0.87,25.34,17.74
127,S P I C,53.6,1091.51,0,71.81,93.56,750.62,50.5,23.28,2126.78,10.13,198.06,71.81,1.57,9.61,10.76,5.51
128,Moschip Tech.,67.9,1092.16,0,1.55,-9.88,41.67,22.85,12.1,155.39,15.26,6.28,1.55,16.63,4.09,27.72,173.91
129,Shanti Educat.,68.1,1096.41,0,1.33,1208.33,4.56,318.35,2.28,7.41,5.67,2.25,1.33,19.23,1.25,26.73,487.29
130,BF Investment,291.6,1098.17,0,34.83,4.88,4.49,-12.82,7.18,19.29,77.92,199.37,34.83,0.27,4.96,25.34,5.51
131,MPS,645.05,1103.41,4.65,15.95,-9.32,68.91,-7,28.03,278.83,35.47,69.83,15.95,3.38,17,13.16,15.8
132,Patel Engineerin,21.45,1106.27,0,41.34,9286.67,973.91,46.18,12.14,3687.95,15.55,134.7,41.34,0.43,1.11,34.22,8.21
133,Kabra Extrusion,344.9,1106.53,0.87,4.39,44.41,105.16,90.03,13.31,456.25,12.88,31.4,4.39,3.36,6.21,22.56,35.24
134,PNB Gilts,61.55,1107.96,8.12,-7.86,-111.26,339.48,25.44,5.26,1127.29,56.62,-53.78,-7.89,0.89,1.11,25.34,
135,Medicamen Biotec,909.8,1111.47,0.11,3.59,-13.49,33.09,20.2,12.26,121,19.13,14.34,3.59,7.51,7.13,26.32,77.51
136,Thejo Engg.,1042,1113.17,0.19,,,,,34.15,424.15,16.26,37.79,,6.73,15.78,34.41,29.46
137,Ritesh Propertie,45.55,1113.37,0,5.04,-81.25,24.29,-58.12,,185.1,15.27,41.24,1.89,10.08,,25.44,27
138,Steel Exchange,12.65,1114.23,0,1.05,106.62,314.53,52.01,10.82,1305,10.91,133.53,1.05,2.23,9.71,34.12,8.34
139,Geojit Fin. Ser.,46.75,1117.69,6.42,22.02,-43.17,101.88,-15.69,29.54,481.32,43.86,134.44,21.29,1.6,11.96,9.93,8.31
140,Capacit'e Infra.,165.3,1122.25,0,28.49,548.97,477.07,70.29,10.05,1532.91,17.81,68.99,28.49,1.15,1.9,30.9,16.27
141,Disa India,7724.7,1123.33,2.07,7.26,77.94,62.23,69.38,25.55,273.16,17.85,40.62,7.26,5.57,12.37,22.56,27.65
142,Arvind SmartSp.,249,1128.27,0,7.39,218.94,60.26,123.6,11.82,290.05,17.52,29.45,7.24,2.59,2.41,30.9,38.31
143,Bharat Bijlee,1997.75,1129.04,1,16.33,19.37,277.14,-3.78,7.49,1254.86,6.7,58.23,16.33,1.01,3.5,37.54,19.39
144,Media Matrix,9.99,1131.61,0,0.57,1350,179.35,133.59,4.09,684.11,0.69,1.48,0.29,5.1,0.78,50.99,764.6
