S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr. ,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Sales Rs.Cr.,OPM %,PAT 12M Rs.Cr.,PAT Qtr Rs.Cr.,CMP / BV,ROA 12M %,Ind PE
212,RPSG Ventures,477.25,1408.43,0,70.66,-99.41,1952.78,21.22,15.56,7011.89,13.63,106.27,0.15,0.5,3.59,27.72,13.25
213,Kuantum Papers,161.65,1410.62,0,52.67,401.14,340.99,69.55,5.03,1097,20.39,77.37,52.67,1.67,0.82,15.15,18.23
214,Gensol Engineer.,1290.5,1411.41,0,8.8,283.41,126.8,183.86,22.63,160.41,11.98,11.09,8.78,30.39,8.02,27.06,127.27
215,CARE Ratings,476.55,1412.92,3.57,14.14,23.82,54.57,10.91,15.82,253.01,34.43,77.74,13.67,2.18,11.01,30.29,18.17
216,Orchid Pharma,349.45,1426.33,0,-15.01,51.42,130.99,41.9,3.67,598.24,9.76,13.94,-15.01,2.46,-0.21,23.98,102.32
217,Matrimony.com,623.35,1427.95,0.8,11.95,-13.53,116.02,10.02,21.98,445.07,18.83,51.72,11.95,4.6,11,27.06,27.61
218,Satia Industries,143.55,1435.5,0.14,30.24,38.02,417.04,118.45,16.32,1117.06,17.98,109,30.24,2.63,8.88,15.15,13.17
219,Pokarna,466.9,1447.58,0.13,28.49,605.2,240.09,127.7,17.04,784.84,26.8,102.75,28.49,3.27,7.2,27.06,14.09
220,Mukand,100.2,1447.85,1.5,28.55,-62.37,1462.34,84.34,8.62,5306.78,5.44,127.45,28.55,2.27,2.35,16.03,11.36
221,Alicon Cast.,898.7,1447.97,0.25,10.77,356.43,343.34,62.91,9.06,1210.64,10.96,39.14,10.77,3.22,2.53,23.46,36.99
222,Mangalore Chem.,122.2,1448.31,0.98,22.8,-6.29,1021.29,48.62,10.72,3229.69,6.88,86.34,22.8,2.12,3.92,10.76,16.77
223,GNA Axles,678.95,1457.39,0.74,33.39,36.23,419.74,23.54,17.21,1396.68,13.51,95.24,33.39,2.22,8.87,23.46,15.3
224,Bhagiradha Chem.,1401.15,1457.96,0.21,11.98,57.01,121.72,23.64,24.77,458.93,15.88,40.26,11.98,7.59,11.67,31.39,36.21
225,Sunflag Iron,80.9,1457.98,0,920.85,-56.28,896.52,34.33,15.82,2927.37,12.07,178.68,29.78,0.83,7.93,16.03,8.16
226,Monte Carlo Fas.,706.05,1463.79,2.83,-3.92,61.49,112.87,170.67,21.73,975.5,19.79,120.29,-3.92,2.13,11.21,25.44,12.17
227,EIH Assoc.Hotels,481.05,1465.76,0,5.68,158.08,60.1,371.74,5.97,242.55,23.33,28.66,5.68,4.41,3.36,49.29,51.14
228,Heritage Foods,316.3,1467.57,1.58,19.05,-51.4,816.15,21.76,21.15,2999.99,4.28,59.43,19.05,2.18,11.19,47.48,24.69
229,Manorama Indust.,1231.25,1467.63,0,6.77,26.78,72.97,18.46,12.98,290.48,14.56,25.57,6.77,5.47,7.45,49.73,57.4
230,BF Utilities,390.7,1471.38,0,81.34,1641.56,194.23,144.75,18.59,627.96,65.27,90.72,37.46,,3.85,21.88,16.22
231,Acrysil,549.8,1471.92,0.44,18.79,38.96,171.31,75.61,27.48,557.67,20.77,70,18.69,5.79,13.73,21.03,21.03
232,Lumax Industries,1575.35,1472.95,0.86,15.22,267.56,511.94,63.04,10.88,1949.26,8.82,72.91,15.6,3.48,3.55,23.46,20.2
233,NACL Industries,74.45,1477.02,0.74,29.89,22.6,564.91,27.56,15.45,1912.88,8.18,79.6,29.89,2.78,5.91,31.39,18.56
234,INEOS Styrolut.,840.25,1478,12.5,86.79,0.88,649.81,42.9,47.56,2374.1,19.75,323.3,86.79,1.73,25.35,9.8,4.57
235,Ester Industries,177.75,1482.32,1.86,41.57,12.56,324.29,1.68,21.16,1411.03,16.91,141.36,41.57,2.38,11.84,13.21,10.49
236,Solara Active,412.85,1486.11,0,-16.45,-132.48,330.07,-18.62,-0.48,1192.84,0.09,-122.09,-16.43,0.97,-1.94,27.89,
237,Venus Pipes,732.7,1487.1,0,9.11,33.77,113.6,40.14,36.27,386.95,12.73,31.67,9.11,8.68,16.43,16.03,46.96
238,Krsnaa Diagnost.,475.65,1493.43,0.53,16.8,-22.26,111.77,-15.63,18.19,434.18,28.62,65.9,16.8,2.17,9.54,31.71,22.66
239,Texmaco Rail,46.4,1493.48,0.22,-22.53,-578.34,298.7,-9.71,6.69,1589.59,5.74,-8.94,-22.53,1.13,0.68,22.56,
240,Wheels India,622.35,1497.66,1.33,10.66,5.23,1053.13,57.28,12.37,4070.22,6.16,80.32,10.66,2.22,3.23,23.46,18.65
241,Thangamayil Jew.,1092.6,1499.05,0.92,15.95,-40.28,813.45,15.4,11.48,2879.73,3.99,54.22,15.95,4.26,4.59,36.83,27.65
242,Indo Rama Synth.,58,1514.46,0,40.19,187.89,1135.44,69.33,33.87,4366.01,7.56,294.42,40.19,2.53,14.32,8.62,5.14
243,Excel Industries,1207.05,1517.35,1.86,37.05,72.89,328.81,41.78,21.46,1274.92,19.85,176.83,37.05,1.32,12.4,26.53,8.58
244,K C P,117.7,1517.4,0.85,42.56,-65.74,566.41,4.56,21.2,2146.6,15.28,140.24,24.96,1.29,10.66,12.06,10.82
245,GMR Urban,25.2,1521.06,0,201.67,262.6,1068.68,22.05,8.5,4101.81,12.08,-696.92,201.67,,-4.76,19,
246,Oriental Aromat.,454.6,1529.89,0.33,8.63,-62.31,233.55,1.69,11.74,872.67,8.64,39.78,8.63,2.52,6.72,26.53,38.46
247,KPI Green Energy,852.2,1539.67,0.31,18.8,57.98,136.09,145.34,20.74,380.63,38.18,66.96,18.8,7.97,7.9,22.99,22.99
248,Jyoti Resins,1283.7,1540.44,0.19,9.07,150.55,63.91,136.62,46.2,218.85,14.02,25.22,9.07,24.64,12.43,26.53,61.08
249,Wardwizard Inno.,59.95,1544.06,0.13,2.5,54.32,63.89,90.72,27.35,258.15,7.04,10.71,2.5,23.61,7.8,39.9,144.17
250,Shalby,143.35,1548.32,0.7,18.4,71.16,201.8,11.11,9.5,728.42,17.75,65.71,18.4,1.73,5.1,31.71,23.56
251,Chemcon Special.,423.7,1552.04,0.94,25.46,89.86,89.41,56.28,20.88,289.32,33.62,74.81,25.46,3.72,13.97,26.53,20.75
252,ADF Foods,707.25,1554.02,0.57,7.65,-31.33,97.2,12.77,20.16,432.21,14.62,44.62,7.65,4.44,12.19,47.48,34.83
253,Vindhya Telelink,1311.9,1554.6,0.76,38.19,-42.42,313.98,-8.27,8.49,1295.65,10.72,165.14,38.19,0.48,3.84,97.85,9.41
254,Den Networks,32.6,1555.75,0,48.13,26.16,287.3,-11.61,2.31,1168.23,15.75,152.71,47.51,0.52,1.86,50.99,10.19
255,Garware Hi Tech,672.7,1562.84,1.49,44.54,24.31,369.87,21.03,12.83,1366.9,17.65,175.89,44.54,0.91,7.69,13.21,8.89
256,Dishman Carbogen,100.05,1568.61,0,4.01,-74.97,540.61,-1.84,0.85,2130.58,14.97,19.6,4.01,0.28,0.58,27.89,80.03
257,Wendt India,7867.85,1573.57,0.83,10,24.38,52.45,10.49,23.39,189.15,24.26,30.26,10,9.29,13.32,47.87,52
258,Tilaknagar Inds.,95,1576.17,0.11,1.04,181.08,229.55,69.66,13.23,877.62,12.59,32.64,1.04,12.43,3.13,28.83,48.29
259,Manali Petrochem,91.7,1577.23,2.73,37.14,-52.95,300.91,7.61,63.02,1464.95,31.72,339.84,37.14,1.6,37.67,9.8,4.64
260,Ramco Inds.,182.35,1580.3,0.55,60.66,-19.75,496.78,18.61,5.3,1535.13,14.05,287.92,60.66,0.42,7.31,21.43,5.49
261,Cigniti Tech.,568.65,1597.34,0.44,41.53,87.33,416.65,35.32,26.41,1464.16,12.18,121.68,41.53,3.26,14.91,27.72,13.13
262,Zen Technologies,201.25,1600.14,0.05,7.03,716.67,37.07,272.19,2.4,96.86,16.9,10.31,7.03,7.78,0.93,27.72,155.14
263,TGV Sraac,150.6,1612.77,0,147.74,1413.73,596.07,137.78,22.43,1870.71,24.55,272.15,147.74,2.17,8.78,15.34,5.93
264,Orissa Minerals,2690.9,1614.54,0,-1.91,91.68,15.46,296.41,4.88,94.24,36.34,1.37,-1.45,457.38,-3.32,9.79,1178.5
265,NRB Bearings,166.8,1616.67,1.2,24.46,46.96,236.11,17.29,14.85,979.01,16.62,82.8,23.94,2.75,7.71,20.23,19.53
266,T.V. Today Netw.,271.6,1620.6,1.1,35.05,-6.13,218.15,7,22.39,944.37,25.52,179.22,35.05,1.4,13.86,7.72,9.04
267,Ashiana Housing,159.05,1627.91,0.57,10.26,300,80.01,110.89,-0.69,263.83,4.54,10.06,10.26,2.21,-0.2,30.9,161.82
268,Omaxe,89.05,1628.72,0,-50.2,-12.73,121.12,40.69,-3.17,652.83,-7.97,-162.4,-48.97,1.6,-1.44,30.9,
269,GTPL Hathway,145.45,1635.77,2.75,47.47,-12.28,654.98,9.91,29.35,2502.29,20.58,197.24,44.86,1.52,10.05,50.99,8.29
270,Fino Payments,196.75,1637.24,0,10.1,222.68,18.73,209.08,6.47,48.3,-2015.96,49.71,10.1,3.41,3.2,16.15,32.94
271,ISMT,54.5,1637.73,0,20.1,135.73,622.57,29.9,1.78,2303.91,3.1,73.03,20.1,1.18,-3.6,16.03,22.43
272,Force Motors,1243.25,1638.6,0.8,-12.54,-909.03,970.71,50.91,-2.73,3567.51,2.16,-88.69,-12.54,0.92,-2.17,320.2,
273,I G Petrochems,532.2,1638.9,1.88,81.01,57.36,659.93,70.31,33.22,2155.22,20.53,294.03,81.01,1.54,17.77,26.53,5.57
274,GTL Infra.,1.3,1641.03,0,-279.59,-28.77,360.24,-0.38,-2.12,1461.35,19.33,-873.68,-279.59,,-13.15,46.75,
275,J Kumar Infra,218.15,1650.64,1.38,61.91,92.87,993.77,47.21,15.23,3845.91,14.25,235.68,61.91,0.79,5.41,22.54,7
276,Shankara Build.,723,1652.01,0.14,12.02,92.01,832.54,86.87,10.14,2805.41,3.29,40.08,12.02,2.97,3.45,34.12,41.22
277,AVT Natural Prod,109.1,1661.59,0.92,24.85,52.08,148.67,1.01,26.7,560.87,20.87,81.36,24.85,4.51,16.64,49.73,20.42
278,Honda India,1641.9,1664.89,0.91,4.91,-75.21,200.06,-24.29,15.8,1092.11,7.51,59.63,4.91,2.49,8.99,37.54,27.92
279,Shriram Pistons,756,1665.08,1.32,54.66,88.48,620.13,42.85,16.97,2250.67,14.99,189.23,54.66,1.33,9.12,23.46,8.8
280,Rel. Indl. Infra,1105.25,1668.93,0.27,1.87,-3.61,16.62,-0.72,2.56,65.93,5.93,6.81,1.87,4.3,1.79,19,245.07
281,Va Tech Wabag,268.45,1669.5,0,29.88,105.08,631.68,-4,13.27,2952.98,7.67,146.04,29.88,1.08,3.1,22.56,11.43
282,Vadilal Inds.,2324.7,1671.46,0.05,49.46,289.45,391.19,135.16,18.68,922.56,15.81,81.45,49.46,5.62,7.52,47.48,20.52
283,T N Newsprint,241.65,1672.46,1.66,60.4,538.63,1128.29,78.54,4.37,4516.64,10.26,88.49,60.4,1.05,0.24,15.15,18.9
284,Ramky Infra,242,1674.59,0,8.34,-83.08,371.79,41.28,19.6,1567.28,13.66,7.33,4.71,6.07,0.88,34.22,228.46
285,Sirca Paints,613.2,1680.44,0.33,11.67,428.05,61.35,90.94,17.5,229.25,21.91,37.19,11.67,7.46,10.85,34.12,45.19
286,Novartis India,681.2,1681.94,1.47,52.38,734.08,120.92,23.25,6.09,422.68,12.08,89.92,52.38,2.43,4.18,36.61,18.7
287,Kesoram Inds.,54.2,1683.8,0,-59.05,-391.26,845.27,0.31,18.81,3644.29,7.98,-176.06,-59.05,3.47,-1.65,24.61,
288,Kovai Medical,1548.45,1694,0.19,23.79,-32.45,236.21,-1.03,16.38,903.54,27.05,92.82,23.79,2.78,8,31.71,18.25
289,Hester Bios,1992.65,1695.12,0.5,3.56,-67.7,50.7,-15.77,13.9,225.52,22.32,30.23,3.56,6.52,8.09,26.32,56.07
290,Jagran Prakashan,64.3,1695.3,6.22,40.5,1675.88,454.47,68.12,12.24,1800.1,23.94,258.89,40.5,0.79,6.65,7.72,6.55
291,Subex,30.1,1696.68,0,5.54,-58.9,83.26,3.3,6.18,336.1,5.85,13.05,5.54,2.97,2.88,27.72,130.01
292,Huhtamaki India,226.15,1707.93,0.44,8.15,332.86,792.67,19.62,2.22,2851.48,4.45,28.21,8.15,2.3,0.14,13.21,60.54
293,Alembic,67.15,1724.29,2.68,-18.55,-137.81,22.09,6.1,3.95,79.25,18.98,154.44,-18.55,0.69,8.69,27.89,11.16
294,Ganesha Ecosphe.,791,1726.71,0.25,13.27,32.57,292.59,47.49,11.81,1115.65,10.59,88.08,13.27,3.01,6.61,15.22,19.6
295,DCW,58.65,1731.08,0.68,58.77,1021.64,768.65,47.67,18.53,2702.87,14.4,143.37,49.24,1.94,5.27,9.8,12.07
296,Federal-Mogul Go,315.65,1755.96,0,21.18,84.2,401.76,26.14,10.25,1425.88,12.17,63.15,19.93,2,4.55,23.46,27.81
297,Panama Petrochem,292.5,1769.44,2.74,64.58,11.21,551.79,0.07,41.17,2132.76,14.33,236.84,64.58,2.3,20.51,9.8,7.47
298,Technocraf.Inds.,724.15,1771.39,0,75.35,3.68,538.71,32.99,22.21,2044.75,19.67,266.38,71.21,1.33,13.9,16.03,6.65
299,Bhansali Engg.,107.05,1776.02,2.8,41.01,-66.81,358.28,-4.42,56.84,1482.88,21.06,237.31,41.01,1.71,37.09,9.8,7.48
300,Accelya Solution,1192.8,1780.85,5.2,33.11,132.68,115.26,35.17,37.7,398.38,39.93,95.08,33.11,6.78,21.78,27.72,18.73
301,Shaily Engineer.,1942.4,1781.86,0,7.36,-8,171.96,43.18,13.99,617.7,13.22,34.5,7.36,4.86,6.15,28.38,51.65
302,Lumax Auto Tech.,261.8,1784.37,1.34,26.01,539.59,421.93,61.98,18.44,1669.38,10.74,88.91,21.81,3.28,7.76,23.46,20.07
303,Tide Water Oil,1026.5,1788.57,5.36,33.72,47.31,438.8,53.91,21.71,1689.41,9.46,133.74,33.72,2.48,11.84,26.53,13.37
304,Datamatics Glob.,304.35,1794.12,1.23,42.65,37.54,326.87,13.6,22.01,1240.17,16.1,159.95,42.65,2.09,14.3,27.72,11.22
305,Seshasayee Paper,285.15,1798.39,0.88,59.66,221.44,430.84,97.64,12.07,1567.78,14.16,144.2,59.66,1.48,6.68,15.15,12.47
306,MSTC,255.8,1800.83,5.04,54.29,61.77,180.58,-31.51,31.09,793.07,3.19,219.87,54.29,2.75,9.34,34.12,8.19
307,Andhra Paper,453.5,1803.57,1.65,84.95,224.98,452.01,74.91,18.01,1573.82,19.24,198.54,84.95,1.65,9.96,15.15,9.08
308,Hind.Oil Explor.,136.4,1803.8,0,32.35,191.44,89.42,193.37,6.06,214.66,51.95,75.11,32.35,2.4,4.01,18.17,24.02
309,JMC Projects,107.85,1810.86,0.93,31.33,408.67,1671.64,44.01,14.07,6029.64,8.08,97.47,31.33,3.44,1.99,34.22,18.58
310,Dwarikesh Sugar,96.35,1814.28,2.08,39.7,46.49,646.46,64.82,20.99,2228.3,13.86,167.82,39.7,2.69,10.84,13.17,10.81
311,Kirloskar Indus.,1852.35,1816.69,0.54,102.87,-33.41,1497.43,81.67,21.5,4455.74,13.92,124.98,48.43,0.78,6.33,25.34,14.54
312,Valiant Organics,672.3,1825.53,0.52,13.79,-48.26,234.55,27.24,18.37,998.65,15.2,90.07,13.79,3.03,10.9,26.53,20.27
313,TVS Srichakra,2389,1829.97,0.68,-2.23,121.87,737.36,47.97,7.37,2771.9,6.11,46.59,2.4,1.88,2.28,26.97,39.28
314,VST Till. Tract.,2119.45,1831.1,0.94,10.05,-58.14,235.98,21.89,18.73,896.24,12.92,85.35,10.05,2.44,10.64,29.53,21.45
315,Polo Queen Ind.,54.55,1831.52,0,0.44,214.29,16.57,38.43,1.95,61.16,7.67,1.72,0.44,10.02,0.68,34.12,1064.84
316,Sandur Manganese,692.35,1869.75,0.72,33.79,-77.29,651.68,37.18,56.78,2425.37,31.99,560.11,33.79,1.13,30.24,9.79,3.34
317,M M Forgings,775.4,1871.88,0.77,29.55,23.95,332.93,39.09,14.55,1194.88,18.1,97.48,29.55,3.24,6.79,19.15,19.2
318,Swaraj Engines,1542.9,1873.77,5.19,39.54,17.5,398.35,26.58,49.68,1221.79,13.33,115.36,39.54,6.13,23.56,24.02,16.24
319,Balmer Lawrie,109.65,1875.06,5.93,55.38,54.39,648,33.3,8.7,2217.23,8.73,154.26,55.38,1.18,5.49,15.26,12.16
320,Andhra Sugars,138.35,1875.13,1.45,76.34,47.64,659.78,59.54,20.54,2207.88,13.87,266.5,75.28,1.23,12.45,18.98,7.04
321,JTL Infra,286.6,1878.29,0,20.27,62.55,299.91,14,39.18,1090.45,8.01,61.08,21.05,9.12,20.59,16.03,30.75
322,Veranda Learning,336.85,1878.8,0,-20.07,-290.47,28.19,478.85,-43.79,75.05,-52.45,-58.49,-20.07,45.88,-29.88,26.73,
323,Vidhi Specialty,376.95,1882.68,0.21,11,-18.03,120.69,16.63,33.22,554.27,14.78,56.34,11,8.66,20.33,21.17,33.42
324,Yasho Industries,1655.5,1887.14,0.03,20.59,88.73,183.45,38.97,28.73,665.21,15.67,62.41,20.59,10.87,13.36,26.53,30.24
325,DFM Foods,375.4,1887.36,0,-14.41,-732.95,145.9,32.1,-9.51,589.9,-5.54,-37.44,-14.41,12.36,-6.24,47.48,
326,TD Power Systems,605.05,1888.27,0.58,21.49,140.65,204.54,25.39,16.22,838.85,12.42,77.34,21.49,3.55,7.67,37.54,24.42
327,Titagarh Wagons,158.5,1895.2,0,-0.07,-100.4,528.6,4.21,7.69,1952.14,6,-10.49,-0.07,2.25,-0.04,22.56,
328,Agro Tech Foods.,780.5,1902.08,0.38,3.01,-42.56,236.5,-6.11,6.96,881.23,4.98,14.8,3.01,4.15,3.95,49.73,128.52
329,Stylam Industrie,1131.2,1917.16,0.22,24.21,60.86,246.34,43.26,24.72,837.89,15.25,77.24,24.21,5.3,13.62,27.06,24.82
330,Welspun Enterp,128,1919.78,1.17,49.1,90.93,763.23,104.9,7.43,1792.15,11.48,147.77,48.42,1.07,2.35,34.22,12.99
331,Neuland Labs.,1497.7,1921.53,0.33,9.97,14.2,221.17,10.1,9.51,971.36,14.69,65.06,9.97,2.29,4.81,23.98,29.53
332,S H Kelkar & Co.,140.05,1938.58,0.54,25.23,-5.87,414.18,15.43,10.25,1679.03,13.45,91.75,24.14,1.87,7.55,26.53,21.13
333,Wonderla Holiday,344.4,1947.9,0,64.38,585.89,149.42,3334.94,-1.68,272.63,44.63,68.16,64.38,2.43,-1.21,29.1,28.58
334,Marksans Pharma,47.8,1956.52,0.52,60.18,-3.87,433.77,24.3,23.92,1575.64,16.15,184.39,60.18,1.76,13.04,23.98,10.61
335,Optiemus Infra.,229.15,1966.43,0,4.98,789.29,205.83,326.33,2.43,629.18,-3.17,7.39,4.98,5.96,-0.17,34.12,266.09
336,Pilani Invest.,1786.9,1978.5,0.84,45.47,29.88,59.69,8.61,2.19,262.28,97.25,211.87,45.47,0.18,1.7,25.34,9.34
337,Savita Oil Tech,286.35,1978.69,1.75,87.73,13.16,871.72,43.94,29.41,3094.44,11.8,260.19,87.73,1.55,13.24,9.8,7.6
338,Gokul Agro,138.3,1978.69,0,28.27,100.35,2864.32,23.41,31.94,10935.73,2.26,137.06,28.27,4.21,7.47,49.73,14.44
339,Genesys Intl.,536.85,1980.62,0,1.97,128.1,42.69,212.29,5.86,148.65,29.53,14.03,1.97,9.06,2.91,27.72,141.17
340,Bombay Dyeing,96,1982.74,0,-76.85,28.82,606.37,59.21,5.85,2226.44,7.19,-196.35,-76.85,,-5.1,15.22,
341,Punjab Alkalies,81.85,1983.58,0,46.85,426.4,186.26,147.42,38.98,565.05,24.1,94.67,46.85,7.24,15.7,15.34,20.95
342,Apollo Pipes,505.5,1988.04,0.2,8.83,0.91,218.89,59.07,16.76,865.36,11.09,49.84,8.83,4.9,9.63,28.38,39.89
343,Confidence Petro,70.15,1992.34,0.14,14.45,-15.52,355.31,60.3,17.8,1561.36,11.94,84.25,14.21,2.87,9.76,27.06,23.65
344,Sundaram Fin.Hol,90.05,1999.38,1.11,41.14,30.27,18.64,1.14,0.87,84.11,25.62,170.26,41.14,0.67,5.95,25.34,11.74
345,Gulf Oil Lubric.,409.1,2005.29,1.22,55.33,82.31,706.45,69.26,23.33,2480.72,13.24,236.05,55.33,1.98,13,26.53,8.5
346,NELCO,881.95,2012.61,0.2,4.47,31.47,75.44,23.23,17.93,300.87,18.73,17.48,4.47,21.48,6.27,46.75,115.14
347,Cosmo First,739.5,2015.81,3.16,93.3,7.59,842.68,22.55,30.6,3193.46,18.18,403.2,93.3,1.7,16.21,13.21,5
348,Heranba Inds,504.15,2017.28,0.4,33.71,-28.87,361.93,2.99,38.46,1460.9,16.51,175.4,33.71,2.82,19.78,31.39,11.5
349,IIFL Securities,66.8,2031.56,4.49,55.47,-23.01,316.61,5.88,32.38,1290.84,35.64,263.81,55.47,1.58,6.21,25.34,7.7
350,Gufic BioScience,209.6,2031.96,0.05,21.05,-32.55,165.28,-34.09,46.31,693.68,19.21,85.68,21.05,7.55,20.97,27.89,23.72
351,Aditya Vision,1692.7,2036.06,0.35,26.73,171.65,438.51,126.54,24.2,1144.06,7.79,53.5,26.73,25.87,8.56,38.06,38.06
352,Gati,165.65,2036.98,0,6.59,123.07,431,48.5,2.05,1620.87,3.19,0.47,2.37,3.76,-0.9,2190.66,4341.61
353,IFCI,9.7,2039.9,0,-196.76,71.73,311.03,-20.66,-4.73,1380.57,-5.5,-1351.43,-195.74,0.72,-9.82,3.98,
354,Grauer & Weil,90.5,2051.69,0.72,28.83,47.85,198.86,47.53,18.84,832.36,14.9,86.31,28.83,3.52,9.79,26.53,23.77
355,Hind.Construct.,13.6,2057.72,0,-280.67,-255.95,2228.92,-9.17,60.01,10517.11,10.52,-114.66,-280.67,,2.3,34.22,
356,Prataap Snacks,878.35,2060,0.06,-11.39,-616.35,382.58,36.82,2.64,1499.57,3.02,7.04,-11.39,3.3,1.65,47.48,292.61
357,Siyaram Silk,439.8,2061.35,2.09,30.98,140.16,397.96,71.05,29.21,2068.37,17.24,234.45,30.98,2.2,15.44,15.22,8.79
358,PTC India,69.65,2061.71,2.87,155.89,57.26,2831.12,-21.2,12.42,15631.39,3.88,424.81,155.89,0.53,4.73,34.12,4.85
359,Tips Industries,1597.95,2072.33,0.13,20.82,85.4,49.56,70.19,86.5,162.14,60.23,75.45,20.82,15.08,43.19,50.99,27.47
360,Ashoka Buildcon,73.95,2075.95,0,134.65,69.25,1878.56,46.4,26,6541.21,27.85,528.47,134.55,1.5,3.36,19,3.93
361,AGI Greenpac,320.9,2076.14,1.56,65.78,484.19,521.8,25.38,8.73,1895.52,16.35,252.26,65.78,1.49,6.24,13.21,8.23
362,Mayur Uniquoters,472.9,2078.52,0.42,28.65,58.37,200.93,58.27,15.7,704.94,17.99,94.9,28.65,2.97,10.39,28.38,21.9
363,PSP Projects,578,2080.8,0.87,22.92,-37.36,356.6,-8.67,34.87,1742.8,14.22,152.13,22.92,2.9,14.32,34.22,13.68
364,NDTV,323.25,2084.15,0,25.81,45.28,107.74,26.72,42.28,419.11,26.8,87.06,23.23,8.95,17.28,7.72,23.94
365,Genus Power,81.2,2091.14,0.31,11.94,-49.87,187.04,43.48,8.43,741.74,9.29,45.58,11.94,2.19,4,47.1,45.88
366,Fiem Industries,1590.7,2093.33,1.26,29.11,167.06,444.55,61.84,20.62,1742.13,12.57,112.37,29.11,3.26,9.56,23.46,18.63
367,IOL Chemicals,357.05,2096.08,1.12,34.89,-54.86,565.01,8.97,18.24,2230.52,9.06,133.55,34.89,1.51,9.9,27.89,15.7
368,Dreamfolks Servi,401.55,2098.1,0,13.44,1066.91,160.26,553.06,25.4,282.5,7.98,15.44,13.44,25.53,10.6,27.06,135.89
369,D B Corp,119.2,2112.11,4.19,48.78,-9.28,538.4,20.5,10.4,2049.99,17.46,190.82,48.78,1.14,5.77,7.72,11.07
370,Stove Kraft,645.3,2120.96,0,8.08,-40.28,275.07,28.41,19.04,1197.22,8.04,50.77,8.08,5.83,8.87,47.62,41.78
371,Gokaldas Exports,352.45,2135.07,0,39.39,1644.71,610.63,153.4,18.43,2159.98,12.03,159.02,39.39,2.94,10.36,15.16,13.43
372,ITD Cem,124.6,2140.47,0.36,30.19,68.03,1097.84,32.98,14.46,4081.32,7.46,80.97,30.06,1.89,1.97,34.22,26.44
373,Hil Ltd,2853.05,2143.75,1.58,85.73,-3.5,719.41,18.87,23.03,2087.66,12.09,182.72,85.73,2.08,12.29,21.43,11.73
374,Insecticid.India,725.85,2148.36,0.28,38,9.48,560.69,19.74,16.18,1596.39,10.97,110.3,38,2.48,7.66,31.39,19.48
375,Cantabil Retail,1319.7,2155.07,0.19,14.12,1010.97,100.77,250.26,21.83,455.39,30.98,53.72,14.12,13.46,8.23,25.44,40.12
376,Gabriel India,150.05,2155.38,1.03,32.91,174.25,720.9,59.55,17.55,2601.07,6.67,110.44,32.91,2.81,7.03,23.46,19.52
377,GRM Overseas,359.6,2157.6,0.74,17.87,1.59,313.28,46.41,27.64,1197.73,7.3,79.12,17.87,10.57,14.76,47.48,27.27
378,Thirumalai Chem.,210.75,2157.83,1.19,60.05,-7.77,621.05,56.4,35.4,2222.14,19.54,276.17,60.05,1.99,17.55,26.53,7.81
379,Camlin Fine,137.5,2159.64,0,3.6,-83.9,383.77,16,10.63,1465.04,10.15,40.2,3.6,2.89,3.71,26.53,53.72
380,Amrutanjan Healt,739.45,2161.46,0.62,3.66,-69.65,70.95,-9.28,37.74,398.58,17.12,58.8,3.66,8.15,21.53,26.32,36.76
381,Greenply Industr,178.4,2191.89,0.28,20.73,414.39,453.54,73.92,18.37,1755.57,10.06,111.43,20.73,4.07,9.1,27.06,19.67
382,Subros,336,2191.92,0.21,11.65,247.76,708.53,47.47,6.68,2466.72,6.69,40.8,11.65,2.66,2.24,23.46,53.72
383,Puravankara,92.65,2197.1,5.4,34.44,-77.74,214.85,18.37,13,987.27,24.31,27.7,34.43,1.08,1.69,30.9,79.32
384,Eveready Inds.,304.3,2211.65,0,21.85,-27.48,335.38,18.87,13.95,1260,8.2,38.19,21.85,7.63,4.71,37.62,57.91
385,Time Technoplast,98,2216.24,1.02,45.24,55.65,944.47,25.2,12.22,3839.95,13.77,203.9,44.39,1.07,5.56,28.38,10.87
386,Prime Focus,74.05,2218.07,0,-48.82,49.18,1028.15,55.2,11.23,3751.62,22.81,-40.78,-11.42,19.41,1.78,50.99,
387,Bajaj Consumer,150.35,2218.27,5.32,33.89,-30.7,249.44,15.1,26.1,912.68,17.3,154.62,33.89,2.74,18.38,40.76,14.35
388,Pricol Ltd,182.35,2222.51,0,20.59,246.63,445.15,40.9,14.6,1673.92,11.88,69.71,20.59,3.82,4.78,23.46,31.88
389,Jain Irrigation,36.25,2228.21,0,-5.79,-153.62,2042.82,14.93,3.86,7384.77,9.58,-142.13,-6.59,0.6,-1.33,28.38,
390,Rachana Infra.,1202.65,2237.53,0,,,,,8.45,63.2,9.68,2.19,,38.03,2.23,34.22,1021.7
391,Filatex India,99.8,2253.04,0.2,43.39,-15.02,1023.29,46.41,35.31,4152.47,12.14,293.98,43.39,2.07,15.75,8.62,7.66
392,Vishnu Chemicals,1889.7,2258.19,0.11,29.31,321.73,303.91,88.8,22.72,1049.62,14.94,87.6,29.31,10.44,8.85,26.53,25.78
393,Mrs Bectors,384.95,2264.1,0.65,10.39,-12.32,279.28,30.51,13.46,988.87,11.03,52.04,10.39,5.05,7.83,47.48,43.51
